"year","DVRPC- All","DVRPC- Poor","DVRPC- Fair","DVRPC- Good","Pennsylvania All Counties- All","Pennsylvania All Counties- Poor","Pennsylvania All Counties- Fair","Pennsylvania All Counties- Good","New Jersey Suburbs- All","New Jersey Suburbs- Poor","New Jersey Suburbs- Fair","New Jersey Suburbs- Good","Pennsylvania Suburbs- All","Pennsylvania Suburbs- Poor","Pennsylvania Suburbs- Fair","Pennsylvania Suburbs- Good","Bucks- All","Bucks- Poor","Bucks- Fair","Bucks- Good","Burlington- All","Burlington- Poor","Burlington- Fair","Burlington- Good","Camden- All","Camden- Poor","Camden- Fair","Camden- Good","Chester- All","Chester- Poor","Chester- Fair","Chester- Good","Delaware- All","Delaware- Poor","Delaware- Fair","Delaware- Good","Gloucester- All","Gloucester- Poor","Gloucester- Fair","Gloucester- Good","Mercer- All","Mercer- Poor","Mercer- Fair","Mercer- Good","Montgomery- All","Montgomery- Poor","Montgomery- Fair","Montgomery- Good","Philadelphia- All","Philadelphia- Poor","Philadelphia- Fair","Philadelphia- Good"
2010,4129,899,2249,981,2935,780,1559,596,1194,119,690,385,2352,628,1218,506,654,190,370,94,335,28,210,97,250,26,163,61,608,129,330,149,355,76,171,108,241,19,129,93,368,46,188,134,735,233,347,155,583,152,341,90
2011,4139,892,2278,969,2944,772,1582,590,1195,120,696,379,2365,636,1228,501,654,202,362,90,336,33,213,90,251,25,166,60,614,123,331,160,356,88,182,86,241,15,128,98,367,47,189,131,741,223,353,165,579,136,354,89
2012,4164,844,2328,992,2970,720,1643,607,1194,124,685,385,2392,595,1283,514,655,182,371,102,337,30,210,97,251,24,166,61,620,124,344,152,363,84,192,87,241,17,128,96,365,53,181,131,754,205,376,173,578,125,360,93
2013,4177,818,2344,1015,2995,691,1667,637,1182,127,677,378,2416,574,1298,544,664,184,372,108,331,30,210,91,251,25,169,57,627,119,347,161,360,73,200,87,242,15,130,97,358,57,168,133,765,198,379,188,579,117,369,93
2014,4203,795,2374,1034,3000,674,1671,655,1203,121,703,379,2423,557,1302,564,672,178,371,123,341,31,219,91,250,21,178,51,627,111,358,158,360,73,200,87,242,15,132,95,370,54,174,142,764,195,373,196,577,117,369,91
2015,4264,771,2410,1083,3011,660,1691,660,1253,111,719,423,2432,549,1316,567,678,172,380,126,358,28,222,108,252,23,184,45,631,121,357,153,361,72,203,86,242,14,137,91,401,46,176,179,762,184,376,202,579,111,375,93
2016,4277,771,2419,1087,3007,649,1691,667,1270,122,728,420,2428,539,1312,577,675,163,384,128,362,31,225,106,265,25,191,49,630,120,358,152,361,70,204,87,242,13,139,90,401,53,173,175,762,186,366,210,579,110,379,90
2017,4268,720,2442,1106,3000,602,1709,689,1268,118,733,417,2426,502,1326,598,672,150,392,130,361,31,226,104,263,23,189,51,627,118,349,160,360,63,211,86,242,12,146,84,402,52,172,178,767,171,374,222,574,100,383,91
2018,4325,694,2484,1147,3061,573,1752,736,1264,121,732,411,2478,479,1360,639,669,145,393,131,360,33,226,101,260,23,186,51,673,121,368,184,363,61,213,89,242,12,147,83,402,53,173,176,773,152,386,235,583,94,392,97
2019,4361,648,2526,1187,3091,533,1784,774,1270,115,742,413,2506,441,1396,669,676,137,398,141,360,33,226,101,260,21,187,52,677,113,377,187,379,61,225,93,242,11,148,83,408,50,181,177,774,130,396,248,585,92,388,105
2020,4374,618,2536,1220,3103,509,1794,800,1271,109,742,420,2518,420,1406,692,675,137,388,150,359,34,221,104,258,19,186,53,682,109,390,183,383,55,233,95,243,10,150,83,411,46,185,180,778,119,395,264,585,89,388,108
2021,4422,594,2593,1235,3154,489,1846,819,1268,105,747,416,2563,396,1463,704,671,129,389,153,356,37,219,100,260,20,187,53,682,104,402,176,386,46,238,102,243,7,154,82,409,41,187,181,824,117,434,273,591,93,383,115
2022,4423,554,2619,1250,3154,452,1860,842,1269,102,759,408,2566,370,1473,723,674,117,393,164,356,40,217,99,260,17,191,52,679,100,406,173,388,43,240,105,243,7,154,82,410,38,197,175,825,110,434,281,588,82,387,119
2023,4438,538,2669,1231,3166,438,1893,835,1272,100,776,396,2573,360,1507,706,676,114,401,161,356,39,223,94,260,17,190,53,681,100,408,173,389,48,244,97,243,7,161,75,413,37,202,174,827,98,454,275,593,78,386,129
