"year","Average Annual Temperature","30 Year Trend - Temperature","Total Daily Average Precipitation","30 Year Trend - Precipitation","Precipitation from Severe Storms","30 Year Trend - Precipitation from Severe Storms","Average Sea Level","30 Year Trend - Average Sea Level","Average Sea Level Change","30 Year Trend - Average Sea Level Change"
1927,51.89,51.66,46.51,45.23,0.143,0.140,-0.16,,0.09,
1928,51.79,51.66,44.76,45.10,0.123,0.139,-0.21,,-0.05,
1929,52.14,51.63,43.31,44.89,0.151,0.141,-0.23,-0.24,-0.02,
1930,52.68,51.67,33.22,44.57,0.161,0.143,-0.27,-0.24,-0.03,0.003
1931,54.27,51.70,39.29,44.43,0.145,0.141,-0.22,-0.23,0.04,0.004
1932,53.22,51.76,46.06,44.28,0.157,0.141,-0.20,-0.23,0.02,0.002
1933,52.90,51.80,51.31,44.13,0.136,0.142,-0.14,-0.23,0.07,0.001
1934,51.37,51.79,43.96,43.90,0.145,0.141,-0.20,-0.23,-0.06,0.000
1935,51.44,51.86,45.67,43.92,0.168,0.140,-0.16,-0.23,0.03,0.004
1936,52.01,51.89,44.01,43.96,0.125,0.140,-0.16,-0.22,0.00,0.004
1937,52.59,51.89,43.69,43.75,0.127,0.140,-0.12,-0.22,0.04,0.004
1938,53.20,52.00,50.84,43.71,0.189,0.141,-0.12,-0.22,0.00,0.004
1939,52.89,52.02,44.09,43.71,0.179,0.142,-0.15,-0.21,-0.03,0.004
1940,49.91,51.96,47.29,43.95,0.159,0.141,-0.14,-0.21,0.02,0.005
1941,52.96,52.01,36.15,43.75,0.147,0.142,-0.21,-0.21,-0.07,0.001
1942,52.44,52.01,45.84,43.54,0.122,0.141,-0.14,-0.20,0.06,0.003
1943,51.99,52.03,38.66,43.21,0.143,0.140,-0.19,-0.20,-0.04,0.003
1944,52.49,51.99,43.71,43.09,0.179,0.142,-0.20,-0.20,-0.01,0.002
1945,52.48,52.04,51.65,43.54,0.093,0.140,-0.10,-0.19,0.10,0.005
1946,53.56,52.09,40.16,43.27,0.187,0.142,-0.13,-0.19,-0.04,0.003
1947,52.18,52.13,45.09,43.51,0.129,0.142,-0.15,-0.19,-0.01,0.003
1948,52.11,52.22,50.72,43.80,0.120,0.141,-0.10,-0.18,0.05,0.005
1949,54.66,52.31,40.02,43.87,0.109,0.141,-0.14,-0.18,-0.05,0.002
1950,51.93,52.28,43.81,43.63,0.207,0.144,-0.16,-0.18,-0.01,0.000
1951,52.94,52.34,43.85,43.52,0.129,0.144,-0.09,-0.18,0.07,0.003
1952,53.43,52.32,52.74,44.02,0.147,0.144,-0.07,-0.17,0.02,0.004
1953,54.41,52.38,48.84,44.44,0.127,0.145,-0.09,-0.17,-0.02,0.005
1954,53.16,52.43,38.12,44.32,0.174,0.146,-0.14,-0.16,-0.05,0.003
1955,53.01,52.51,40.11,44.08,0.217,0.148,-0.10,-0.16,0.04,0.004
1956,52.20,52.52,47.08,44.38,0.135,0.148,-0.07,-0.15,0.02,0.006
1957,53.40,52.63,34.92,44.05,0.105,0.148,-0.13,-0.15,-0.05,0.004
1958,50.91,52.60,51.51,44.21,0.119,0.147,-0.08,-0.15,0.05,0.003
1959,53.86,52.67,42.68,44.14,0.112,0.147,-0.12,-0.15,-0.04,0.003
1960,51.96,52.66,46.00,44.23,0.193,0.148,-0.04,-0.14,0.07,0.006
1961,52.31,52.65,44.38,44.59,0.124,0.147,-0.10,-0.13,-0.06,0.005
1962,51.11,52.55,42.37,44.69,0.140,0.147,-0.09,-0.13,0.01,0.004
1963,51.27,52.49,34.24,44.31,0.167,0.147,-0.18,-0.13,-0.09,0.001
1964,52.58,52.48,36.47,43.83,0.141,0.147,-0.16,-0.13,0.02,-0.001
1965,51.99,52.50,31.35,43.42,0.143,0.147,-0.17,-0.13,-0.01,0.001
1966,51.99,52.51,41.88,43.30,0.179,0.147,-0.14,-0.13,0.02,0.001
1967,51.24,52.49,46.65,43.39,0.128,0.147,-0.09,-0.13,0.05,0.002
1968,52.28,52.48,39.25,43.24,0.172,0.149,-0.12,-0.13,-0.03,0.000
1969,52.18,52.45,43.44,43.00,0.158,0.148,-0.09,-0.12,0.03,0.001
1970,52.38,52.43,41.47,42.92,0.155,0.147,-0.07,-0.12,0.02,0.003
1971,52.98,52.53,52.96,43.10,0.218,0.149,-0.04,-0.12,0.03,0.003
1972,51.81,52.49,54.13,43.68,0.141,0.149,0.00,-0.11,0.04,0.007
1973,54.26,52.55,50.99,43.85,0.142,0.149,0.00,-0.11,0.00,0.005
1974,53.04,52.58,42.68,43.98,0.116,0.149,-0.05,-0.10,-0.05,0.004
1975,53.72,52.62,57.76,44.43,0.142,0.147,-0.04,-0.10,0.02,0.005
1976,52.13,52.61,36.69,43.95,0.121,0.148,-0.12,-0.10,-0.08,-0.001
1977,52.76,52.59,49.90,44.26,0.121,0.146,-0.10,-0.10,0.02,0.001
1978,51.11,52.55,48.97,44.39,0.147,0.147,-0.05,-0.09,0.05,0.003
1979,52.39,52.56,59.63,44.67,0.133,0.147,-0.06,-0.09,-0.01,0.001
1980,52.62,52.50,36.19,44.55,0.134,0.148,-0.13,-0.09,-0.07,0.000
1981,52.22,52.50,40.40,44.44,0.131,0.145,-0.11,-0.09,0.02,0.001
1982,52.32,52.48,42.56,44.40,0.123,0.145,-0.09,-0.09,0.02,0.000
1983,53.42,52.48,55.82,44.50,0.117,0.144,0.01,-0.09,0.10,0.003
1984,52.92,52.44,47.50,44.46,0.141,0.145,-0.01,-0.09,-0.02,0.003
1985,53.39,52.44,39.59,44.50,0.203,0.146,-0.07,-0.08,-0.06,0.002
1986,53.17,52.45,44.84,44.65,0.128,0.143,-0.04,-0.08,0.03,0.002
1987,53.34,52.49,44.42,44.57,0.109,0.142,-0.03,-0.08,0.02,0.002
1988,52.49,52.46,42.22,44.80,0.117,0.142,-0.09,-0.08,-0.06,0.001
1989,52.27,52.50,54.06,44.89,0.133,0.143,-0.04,-0.08,0.04,0.001
1990,55.28,52.55,46.74,45.02,0.115,0.143,-0.05,-0.08,-0.01,0.002
1991,55.16,52.65,42.69,44.91,0.152,0.142,-0.04,-0.08,0.02,0.000
1992,52.12,52.64,39.77,44.76,0.155,0.143,-0.02,-0.07,0.01,0.003
1993,53.18,52.71,49.73,45.00,0.141,0.143,0.01,-0.07,0.03,0.003
1994,53.06,52.77,49.12,45.48,0.111,0.141,-0.02,-0.07,-0.03,0.005
1995,53.37,52.79,40.51,45.61,0.130,0.140,-0.04,-0.06,-0.02,0.004
1996,52.27,52.80,62.97,46.63,0.131,0.140,0.09,-0.05,0.13,0.008
1997,52.94,52.83,38.43,46.52,0.116,0.138,0.02,-0.05,-0.07,0.005
1998,56.09,52.99,39.14,46.28,0.110,0.137,0.07,-0.04,0.04,0.005
1999,54.84,53.07,49.44,46.61,0.212,0.139,-0.01,-0.04,-0.07,0.004
2000,53.06,53.10,45.82,46.68,0.118,0.137,-0.02,-0.04,-0.01,0.002
2001,54.59,53.17,36.64,46.53,0.146,0.137,-0.03,-0.04,-0.01,0.001
2002,55.20,53.24,44.28,46.25,0.117,0.134,-0.04,-0.04,-0.01,0.000
2003,52.74,53.27,58.83,46.40,0.091,0.132,0.06,-0.03,0.09,0.002
2004,53.94,53.26,53.47,46.48,0.163,0.133,0.04,-0.03,-0.01,0.001
2005,54.40,53.31,47.89,46.65,0.179,0.135,0.09,-0.03,0.05,0.005
2006,55.91,53.38,54.24,46.53,0.118,0.134,0.07,-0.02,-0.02,0.003
2007,54.58,53.46,46.59,46.85,0.180,0.136,0.01,-0.02,-0.06,0.004
2008,54.52,53.51,46.35,46.74,0.161,0.138,0.05,-0.02,0.04,0.005
2009,53.58,53.59,54.33,46.91,0.095,0.136,0.09,-0.01,0.04,0.004
2010,55.48,53.69,45.92,46.47,0.186,0.138,0.09,-0.01,0.01,0.005
2011,55.74,53.79,64.56,47.38,0.178,0.139,0.16,0.00,0.07,0.009
2012,56.57,53.93,41.73,47.43,0.174,0.140,0.08,0.01,-0.08,0.006
2013,53.96,53.99,51.37,47.71,0.145,0.141,0.05,0.01,-0.03,0.005
2014,52.80,53.97,50.87,47.55,0.151,0.142,0.07,0.02,0.02,0.002
2015,54.90,54.03,44.93,47.47,0.136,0.142,0.03,0.02,-0.04,0.001
2016,55.86,54.11,39.48,47.46,0.121,0.139,0.06,0.02,0.03,0.004
2017,55.58,54.19,43.54,47.42,0.149,0.140,0.09,0.03,0.02,0.004
2018,55.08,54.24,68.27,48.19,0.099,0.140,0.16,0.03,0.07,0.006
2019,55.29,54.33,54.87,48.60,0.110,0.139,0.17,0.04,0.01,0.008
2020,56.26,54.46,53.48,48.58,0.167,0.141,0.14,0.05,-0.03,0.006
2021,55.94,54.48,49.15,48.66,0.192,0.143,0.13,0.05,-0.01,0.006
2022,55.21,54.49,48.28,48.84,0.127,0.142,0.11,0.06,-0.03,0.005
2023,56.23,54.62,48.68,49.13,0.174,0.143,0.20,0.06,0.09,0.007
2024,56.42,54.72,42.82,48.90,0.172,0.144,0.21,0.07,0.01,0.007
