year,Average Annual Temperature,30 year trend - Temperature,Annual Precipitation,30 year trend - Precipitation,Precipitation from Severe Storms,30 year trend - Precipitation from Severe Storms
1988,52,52.69,39.5,44.45,0.051,0.106
1989,51.85,52.77,52.28,44.43,0.154,0.11
1990,54.85,52.85,46.28,44.41,0.199,0.113
1991,54.7,52.93,40.37,44.41,0.102,0.118
1992,51.65,53,39.73,44.46,0.099,0.123
1993,52.65,53.07,46.88,44.54,0,0.128
1994,52.5,53.13,47.21,44.65,0.151,0.136
1995,52.85,53.19,39.63,44.8,0.149,0.144
1996,51.8,53.26,59.09,45,0.252,0.153
1997,52.45,53.32,39.25,45.24,0,0.161
1998,55.6,53.38,41.29,45.5,0.203,0.168
1999,54.4,53.45,46.8,45.76,0.3,0.175
2000,52.6,53.53,44.42,46.03,0.103,0.182
2001,54,53.62,34.62,46.29,0.102,0.188
2002,54.65,53.71,44.78,46.55,0.053,0.194
2003,52.25,53.78,56.07,46.76,0.387,0.197
2004,53.5,53.84,50.57,46.85,0.202,0.198
2005,53.85,53.91,46.83,46.89,0.447,0.198
2006,55.4,53.97,51.06,46.92,0.418,0.198
2007,54.1,54.04,44.78,46.94,0.054,0.197
2008,53.95,54.11,45.79,46.96,0.109,0.197
2009,53.15,54.18,53.13,46.99,0.055,0.196
2010,54.95,54.24,43.38,47.01,0.222,0.195
2011,55.2,54.31,61.71,47.03,0.555,0.194
2012,56.1,54.38,42.52,47.04,0.053,0.192
2013,53.45,54.44,48.01,47.05,0.294,0.191
2014,52.15,54.51,48.94,47.05,0.061,0.189
2015,54.25,54.57,44.79,47.04,0.293,0.187
2016,55.3,54.64,39.55,47.01,0,0.184
2017,55.1,54.7,44.44,46.97,0.133,0.182
